asllex-baby 	https://youtube.com/watch?v=08I2GCN9YVM	baby	08I2GCN9YVM
asllex-back 	https://youtube.com/watch?v=tM18pnANcJA	back	tM18pnANcJA
asllex-bacon	https://youtube.com/watch?v=37xjuBr0xF8	bacon	37xjuBr0xF8
asllex-bad	https://youtube.com/watch?v=-kgTBeOw95A	bad	-kgTBeOw95A
asllex-bag	https://youtube.com/watch?v=Ey5cAsC6V-U	bag	Ey5cAsC6V-U
asllex-bake_1 	https://youtube.com/watch?v=PIWg0KJXdrw	bake	PIWg0KJXdrw
asllex-bake_2 	https://youtube.com/watch?v=1PIwp1JjHQs	bake	1PIwp1JjHQs
asllex-balance	https://youtube.com/watch?v=c0xdS1ZmB2c	balance	c0xdS1ZmB2c
asllex-ball 	https://youtube.com/watch?v=pqPXlU9_Chc	ball	pqPXlU9_Chc
asllex-balloon	https://youtube.com/watch?v=0j6f9C6hvSU	balloon	0j6f9C6hvSU
asllex-banana 	https://youtube.com/watch?v=4ceCCz-iatU	banana	4ceCCz-iatU
asllex-bank 	https://youtube.com/watch?v=bt344QEU2d0	bank	bt344QEU2d0
asllex-bar	https://youtube.com/watch?v=EoFo7upFN8g	bar	EoFo7upFN8g
asllex-baseball 	https://youtube.com/watch?v=t2tke15ZLhY	baseball	t2tke15ZLhY
asllex-basement 	https://youtube.com/watch?v=w1yOviGTgpw	basement	w1yOviGTgpw
asllex-basketball 	https://youtube.com/watch?v=CsqxlMUHwyg	basketball	CsqxlMUHwyg
asllex-bath 	https://youtube.com/watch?v=ezZRpQUUZqI	bath	ezZRpQUUZqI
asllex-bathroom 	https://youtube.com/watch?v=cI3AyC9DfWQ	bathroom	cI3AyC9DfWQ
asllex-battery	https://youtube.com/watch?v=q1H20xjATqo	battery	q1H20xjATqo
asllex-bear 	https://youtube.com/watch?v=sOWYYpscphg	bear	sOWYYpscphg
asllex-beard	https://youtube.com/watch?v=pH_2h_UrnX4	beard	pH_2h_UrnX4
asllex-beat 	https://youtube.com/watch?v=HM9jW5z88Pk	beat	HM9jW5z88Pk
asllex-because	https://youtube.com/watch?v=cdXPk2cbN3U	because	cdXPk2cbN3U
asllex-bed	https://youtube.com/watch?v=Rl52rS9gxSU	bed	Rl52rS9gxSU
asllex-bedroom	https://youtube.com/watch?v=U_GBuZuCOkY	bedroom	U_GBuZuCOkY
asllex-beer 	https://youtube.com/watch?v=ca5ed8JQ5qA	beer	ca5ed8JQ5qA
asllex-behavior 	https://youtube.com/watch?v=JocjfqfnTLo	behavior	JocjfqfnTLo
asllex-behind 	https://youtube.com/watch?v=Qw59mUm6ioU	behind	Qw59mUm6ioU
asllex-believe	https://youtube.com/watch?v=1EB4fvsQV_4	believe	1EB4fvsQV_4
asllex-belt 	https://youtube.com/watch?v=X9c1_4jIX9M	belt	X9c1_4jIX9M
asllex-benefit	https://youtube.com/watch?v=V9Yh8TUscOg	benefit	V9Yh8TUscOg
asllex-bicycle	https://youtube.com/watch?v=ryS7dkPGsXc	bicycle	ryS7dkPGsXc
asllex-binoculars 	https://youtube.com/watch?v=QcVAQ0fNCSU	binoculars	QcVAQ0fNCSU
