hs-after	http://www.handspeak.com/word/list/index.php?abc=ae&id=49	after
hs-afternoon	http://www.handspeak.com/word/list/index.php?abc=ae&id=50	afternoon
hs-afterwards	http://www.handspeak.com/word/list/index.php?abc=ae&id=6413	afterwards
hs-again	http://www.handspeak.com/word/list/index.php?abc=ae&id=51	again
hs-against	http://www.handspeak.com/word/list/index.php?abc=ae&id=52	against
hs-age	http://www.handspeak.com/word/list/index.php?abc=ae&id=2796	age
hs-ageless	http://www.handspeak.com/word/list/index.php?abc=ae&id=3250	ageless
hs-agenda	http://www.handspeak.com/word/list/index.php?abc=ae&id=3807	agenda
hs-aggravated	http://www.handspeak.com/word/list/index.php?abc=ae&id=6117	aggravated
hs-aggregate	http://www.handspeak.com/word/list/index.php?abc=ae&id=3853	aggregate
hs-aggressive	http://www.handspeak.com/word/list/index.php?abc=ae&id=53	aggressive
hs-agitated	http://www.handspeak.com/word/list/index.php?abc=ae&id=3072	agitated
hs-ago	http://www.handspeak.com/word/list/index.php?abc=ae&id=6683	ago
hs-agree	http://www.handspeak.com/word/list/index.php?abc=ae&id=54	agree
hs-ahead	http://www.handspeak.com/word/list/index.php?abc=ae&id=55	ahead
hs-aid	http://www.handspeak.com/word/list/index.php?abc=ae&id=2896	aid
hs-AIDS	http://www.handspeak.com/word/list/index.php?abc=ae&id=5501	AIDS
hs-aim	http://www.handspeak.com/word/list/index.php?abc=ae&id=4993	aim
hs-air	http://www.handspeak.com/word/list/index.php?abc=ae&id=5904	air
hs-air-conditioning	http://www.handspeak.com/word/list/index.php?abc=ae&id=5902	air conditioning
hs-air-force	http://www.handspeak.com/word/list/index.php?abc=ae&id=5903	air force
hs-airplane	http://www.handspeak.com/word/list/index.php?abc=ae&id=56	airplane
hs-airport	http://www.handspeak.com/word/list/index.php?abc=ae&id=57	airport
hs-ajar	http://www.handspeak.com/word/list/index.php?abc=ae&id=3298	ajar
hs-Akashic-records	http://www.handspeak.com/word/list/index.php?abc=ae&id=7441	Akashic records
hs-al-amira	http://www.handspeak.com/word/list/index.php?abc=ae&id=1031	al-amira
hs-alarm	http://www.handspeak.com/word/list/index.php?abc=ae&id=58	alarm
